time,base_time,time_offset,temp_mean,qc_temp_mean,temp_std,rh_mean,qc_rh_mean,rh_std,atmos_pressure,qc_atmos_pressure,wspd_arith_mean,qc_wspd_arith_mean,wspd_vec_mean,qc_wspd_vec_mean,wdir_vec_mean,qc_wdir_vec_mean,wdir_vec_std,wxt_precip_rate_mean,qc_wxt_precip_rate_mean,wxt_cumul_precip,qc_wxt_cumul_precip,logger_volt,qc_logger_volt,logger_temp,qc_logger_temp,lat,lon,alt
2025-06-28 00:01:00,2025-06-28,2025-06-28 00:01:00,21.8,0,0.0,87.3,0,0.039,102.0,0,0.557,0,0.108,0,152.9,0,72.75,0.0,0,82.3,0,13.3,0,22.67,0,38.838,-76.37,3.0
2025-06-28 00:02:00,2025-06-28,2025-06-28 00:02:00,21.8,0,0.0,87.5,0,0.067,102.0,0,0.957,0,0.184,0,50.79,0,72.81,0.0,0,82.3,0,13.3,0,22.67,0,38.838,-76.37,3.0
2025-06-28 00:03:00,2025-06-28,2025-06-28 00:03:00,21.8,0,0.0,87.7,0,0.106,102.0,0,1.705,0,1.544,0,81.3,0,24.87,0.0,0,82.3,0,13.3,0,22.64,0,38.838,-76.37,3.0
2025-06-28 00:04:00,2025-06-28,2025-06-28 00:04:00,21.8,0,0.0,87.2,0,0.093,102.0,0,1.787,0,1.67,0,75.8,0,20.66,0.0,0,82.3,0,13.3,0,22.61,0,38.838,-76.37,3.0
2025-06-28 00:05:00,2025-06-28,2025-06-28 00:05:00,21.8,0,0.0,87.1,0,0.048,102.0,0,1.36,0,1.281,0,67.96,0,19.57,0.0,0,82.3,0,13.3,0,22.61,0,38.838,-76.37,3.0
2025-06-28 00:06:00,2025-06-28,2025-06-28 00:06:00,21.77,0,0.043,87.5,0,0.178,102.0,0,0.785,0,0.707,0,83.7,0,25.53,0.0,0,82.3,0,13.3,0,22.61,0,38.838,-76.37,3.0
2025-06-28 00:07:00,2025-06-28,2025-06-28 00:07:00,21.78,0,0.04,87.6,0,0.12,102.0,0,1.82,0,1.745,0,57.57,0,16.47,0.0,0,82.3,0,13.3,0,22.61,0,38.838,-76.37,3.0
2025-06-28 00:08:00,2025-06-28,2025-06-28 00:08:00,21.75,0,0.05,87.9,0,0.141,102.0,0,2.472,0,2.396,0,54.8,0,14.13,0.0,0,82.3,0,13.3,0,22.59,0,38.838,-76.37,3.0
2025-06-28 00:09:00,2025-06-28,2025-06-28 00:09:00,21.8,0,0.0,87.7,0,0.046,102.0,0,1.173,0,1.058,0,65.83,0,25.38,0.0,0,82.3,0,13.3,0,22.56,0,38.838,-76.37,3.0
2025-06-28 00:10:00,2025-06-28,2025-06-28 00:10:00,21.8,0,0.0,87.9,0,0.088,102.0,0,1.157,0,1.061,0,72.22,0,23.26,0.1,0,82.3,0,13.3,0,22.56,0,38.838,-76.37,3.0
2025-06-28 00:11:00,2025-06-28,2025-06-28 00:11:00,21.8,0,0.0,88.1,0,0.098,102.0,0,0.782,0,0.69,0,79.69,0,27.67,0.0,0,82.3,0,13.3,0,22.56,0,38.838,-76.37,3.0
2025-06-28 00:12:00,2025-06-28,2025-06-28 00:12:00,21.8,0,0.0,88.2,0,0.13,102.0,0,1.833,0,1.633,0,48.74,0,26.8,0.0,0,82.3,0,13.3,0,22.53,0,38.838,-76.37,3.0
2025-06-28 00:13:00,2025-06-28,2025-06-28 00:13:00,21.8,0,0.0,88.2,0,0.142,102.0,0,1.477,0,1.389,0,55.33,0,19.69,0.0,0,82.3,0,13.3,0,22.53,0,38.838,-76.37,3.0
2025-06-28 00:14:00,2025-06-28,2025-06-28 00:14:00,21.8,0,0.0,88.1,0,0.144,102.0,0,2.355,0,2.205,0,51.46,0,20.46,0.0,0,82.3,0,13.3,0,22.5,0,38.838,-76.37,3.0
2025-06-28 00:15:00,2025-06-28,2025-06-28 00:15:00,21.8,0,0.0,88.0,0,0.158,102.0,0,1.853,0,1.651,0,56.96,0,26.78,0.0,0,82.3,0,13.3,0,22.5,0,38.838,-76.37,3.0
2025-06-28 00:16:00,2025-06-28,2025-06-28 00:16:00,21.8,0,0.0,87.8,0,0.114,102.0,0,1.733,0,1.675,0,64.24,0,14.87,0.0,0,82.3,0,13.3,0,22.5,0,38.838,-76.37,3.0
2025-06-28 00:17:00,2025-06-28,2025-06-28 00:17:00,21.8,0,0.0,88.0,0,0.067,102.0,0,1.468,0,1.357,0,78.25,0,22.27,0.0,0,82.3,0,13.3,0,22.5,0,38.838,-76.37,3.0
2025-06-28 00:18:00,2025-06-28,2025-06-28 00:18:00,21.8,0,0.0,88.1,0,0.072,102.0,0,1.867,0,1.804,0,57.01,0,14.84,0.0,0,82.3,0,13.3,0,22.5,0,38.838,-76.37,3.0
2025-06-28 00:19:00,2025-06-28,2025-06-28 00:19:00,21.8,0,0.0,88.1,0,0.096,102.0,0,1.738,0,1.657,0,59.36,0,17.51,0.0,0,82.3,0,13.3,0,22.5,0,38.838,-76.37,3.0
2025-06-28 00:20:00,2025-06-28,2025-06-28 00:20:00,21.8,0,0.0,88.2,0,0.093,102.0,0,1.917,0,1.758,0,64.22,0,23.31,0.0,0,82.3,0,13.3,0,22.47,0,38.838,-76.37,3.0
2025-06-28 00:21:00,2025-06-28,2025-06-28 00:21:00,21.8,0,0.0,88.3,0,0.072,102.0,0,1.282,0,1.201,0,71.75,0,20.35,0.0,0,82.3,0,13.3,0,22.47,0,38.838,-76.37,3.0
2025-06-28 00:22:00,2025-06-28,2025-06-28 00:22:00,21.8,0,0.0,88.4,0,0.067,102.0,0,0.655,0,0.551,0,110.4,0,32.26,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:23:00,2025-06-28,2025-06-28 00:23:00,21.8,0,0.0,88.6,0,0.066,102.0,0,1.305,0,1.027,0,78.16,0,37.36,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:24:00,2025-06-28,2025-06-28 00:24:00,21.8,0,0.0,88.6,0,0.061,102.0,0,1.358,0,1.16,0,69.7,0,30.93,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:25:00,2025-06-28,2025-06-28 00:25:00,21.8,0,0.018,88.6,0,0.113,102.0,0,1.433,0,1.303,0,59.6,0,24.39,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:26:00,2025-06-28,2025-06-28 00:26:00,21.81,0,0.036,88.5,0,0.126,102.0,0,1.772,0,1.427,0,58.95,0,35.75,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:27:00,2025-06-28,2025-06-28 00:27:00,21.8,0,0.0,88.2,0,0.078,102.0,0,1.357,0,1.243,0,48.6,0,23.4,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:28:00,2025-06-28,2025-06-28 00:28:00,21.8,0,0.0,87.9,0,0.197,102.0,0,2.227,0,2.114,0,44.29,0,18.23,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 00:29:00,2025-06-28,2025-06-28 00:29:00,21.74,0,0.049,87.8,0,0.08,102.0,0,1.76,0,1.612,0,70.69,0,23.48,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 00:30:00,2025-06-28,2025-06-28 00:30:00,21.7,0,0.0,87.8,0,0.073,102.0,0,1.2,0,1.082,0,50.75,0,25.41,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 00:31:00,2025-06-28,2025-06-28 00:31:00,21.7,0,0.0,88.0,0,0.079,102.0,0,1.625,0,1.484,0,62.04,0,23.9,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 00:32:00,2025-06-28,2025-06-28 00:32:00,21.7,0,0.0,88.0,0,0.245,102.0,0,2.86,0,2.791,0,41.48,0,12.54,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:33:00,2025-06-28,2025-06-28 00:33:00,21.7,0,0.0,88.6,0,0.065,102.0,0,1.097,0,1.041,0,69.99,0,18.3,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:34:00,2025-06-28,2025-06-28 00:34:00,21.77,0,0.046,88.6,0,0.1,102.0,0,1.61,0,1.538,0,80.9,0,17.15,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:35:00,2025-06-28,2025-06-28 00:35:00,21.8,0,0.0,88.2,0,0.263,102.0,0,1.588,0,1.471,0,74.41,0,21.99,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:36:00,2025-06-28,2025-06-28 00:36:00,21.79,0,0.034,88.0,0,0.055,102.0,0,1.618,0,1.442,0,37.29,0,26.7,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:37:00,2025-06-28,2025-06-28 00:37:00,21.7,0,0.018,88.1,0,0.041,102.0,0,2.182,0,2.108,0,68.42,0,14.87,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:38:00,2025-06-28,2025-06-28 00:38:00,21.76,0,0.049,88.4,0,0.212,102.0,0,1.735,0,1.623,0,52.38,0,20.54,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:39:00,2025-06-28,2025-06-28 00:39:00,21.8,0,0.0,88.5,0,0.075,102.0,0,1.44,0,1.37,0,50.58,0,17.8,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:40:00,2025-06-28,2025-06-28 00:40:00,21.8,0,0.0,88.4,0,0.098,102.0,0,1.897,0,1.692,0,68.47,0,26.58,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:41:00,2025-06-28,2025-06-28 00:41:00,21.8,0,0.0,88.2,0,0.055,102.0,0,1.223,0,1.047,0,56.77,0,30.77,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:42:00,2025-06-28,2025-06-28 00:42:00,21.8,0,0.0,88.0,0,0.132,102.0,0,1.665,0,1.368,0,63.61,0,34.19,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:43:00,2025-06-28,2025-06-28 00:43:00,21.79,0,0.028,87.7,0,0.087,102.0,0,1.475,0,0.963,0,87.5,0,47.71,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:44:00,2025-06-28,2025-06-28 00:44:00,21.7,0,0.0,87.8,0,0.127,102.0,0,1.883,0,1.823,0,49.89,0,14.56,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 00:45:00,2025-06-28,2025-06-28 00:45:00,21.75,0,0.05,88.3,0,0.155,102.0,0,1.343,0,1.299,0,60.04,0,14.73,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:46:00,2025-06-28,2025-06-28 00:46:00,21.8,0,0.0,88.2,0,0.252,102.0,0,2.622,0,2.218,0,67.53,0,31.77,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:47:00,2025-06-28,2025-06-28 00:47:00,21.8,0,0.0,87.8,0,0.172,102.0,0,2.037,0,1.949,0,48.36,0,16.84,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:48:00,2025-06-28,2025-06-28 00:48:00,21.77,0,0.047,87.6,0,0.148,102.0,0,1.648,0,1.525,0,77.44,0,22.15,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:49:00,2025-06-28,2025-06-28 00:49:00,21.7,0,0.0,87.7,0,0.091,102.0,0,2.628,0,2.424,0,56.08,0,22.57,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:50:00,2025-06-28,2025-06-28 00:50:00,21.7,0,0.0,87.7,0,0.086,102.0,0,2.353,0,2.238,0,59.51,0,17.94,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:51:00,2025-06-28,2025-06-28 00:51:00,21.71,0,0.034,88.0,0,0.12,102.0,0,1.19,0,1.116,0,77.16,0,20.13,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:52:00,2025-06-28,2025-06-28 00:52:00,21.8,0,0.022,88.1,0,0.037,102.0,0,2.062,0,1.989,0,43.15,0,15.19,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:53:00,2025-06-28,2025-06-28 00:53:00,21.8,0,0.0,88.1,0,0.113,102.0,0,2.233,0,2.05,0,57.11,0,23.23,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:54:00,2025-06-28,2025-06-28 00:54:00,21.8,0,0.0,88.0,0,0.223,102.0,0,3.288,0,3.217,0,47.74,0,11.97,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:55:00,2025-06-28,2025-06-28 00:55:00,21.8,0,0.0,87.8,0,0.208,102.0,0,1.778,0,1.691,0,51.01,0,17.99,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:56:00,2025-06-28,2025-06-28 00:56:00,21.8,0,0.0,87.9,0,0.124,102.0,0,1.787,0,1.654,0,75.62,0,22.07,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:57:00,2025-06-28,2025-06-28 00:57:00,21.8,0,0.0,87.7,0,0.039,102.0,0,2.093,0,1.996,0,60.24,0,17.5,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:58:00,2025-06-28,2025-06-28 00:58:00,21.8,0,0.0,87.6,0,0.153,102.0,0,2.525,0,2.338,0,44.56,0,22.05,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 00:59:00,2025-06-28,2025-06-28 00:59:00,21.8,0,0.0,87.8,0,0.092,102.0,0,2.358,0,2.243,0,61.21,0,17.9,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:01:00,2025-06-28,2025-06-28 01:01:00,21.9,0,0.0,87.9,0,0.202,102.0,0,1.708,0,1.504,0,74.42,0,28.04,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:02:00,2025-06-28,2025-06-28 01:02:00,21.9,0,0.0,87.7,0,0.142,102.0,0,1.773,0,1.619,0,62.07,0,23.9,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:03:00,2025-06-28,2025-06-28 01:03:00,21.9,0,0.0,87.4,0,0.063,102.0,0,1.463,0,1.29,0,72.91,0,27.85,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:04:00,2025-06-28,2025-06-28 01:04:00,21.9,0,0.0,87.7,0,0.115,102.0,0,1.168,0,0.816,0,65.63,0,44.5,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:05:00,2025-06-28,2025-06-28 01:05:00,21.9,0,0.0,87.6,0,0.049,102.0,0,1.507,0,1.42,0,66.03,0,19.43,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:06:00,2025-06-28,2025-06-28 01:06:00,21.9,0,0.013,87.8,0,0.11,102.0,0,1.573,0,1.414,0,75.79,0,25.74,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:07:00,2025-06-28,2025-06-28 01:07:00,21.9,0,0.0,87.8,0,0.084,102.0,0,2.057,0,1.909,0,40.15,0,21.71,0.0,0,82.3,0,13.3,0,22.36,0,38.838,-76.37,3.0
2025-06-28 01:08:00,2025-06-28,2025-06-28 01:08:00,21.9,0,0.0,88.1,0,0.094,102.0,0,0.898,0,0.763,0,75.6,0,31.44,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:09:00,2025-06-28,2025-06-28 01:09:00,21.91,0,0.028,88.2,0,0.088,102.0,0,1.303,0,1.117,0,59.71,0,30.59,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:10:00,2025-06-28,2025-06-28 01:10:00,21.99,0,0.032,88.3,0,0.153,102.0,0,2.0,0,1.894,0,62.03,0,18.61,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:11:00,2025-06-28,2025-06-28 01:11:00,22.0,0,0.0,87.9,0,0.192,102.0,0,2.238,0,2.167,0,53.74,0,14.47,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:12:00,2025-06-28,2025-06-28 01:12:00,21.97,0,0.047,87.7,0,0.056,102.0,0,1.363,0,1.253,0,58.28,0,23.03,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:13:00,2025-06-28,2025-06-28 01:13:00,21.9,0,0.0,87.8,0,0.139,102.0,0,2.398,0,2.212,0,58.4,0,22.58,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:14:00,2025-06-28,2025-06-28 01:14:00,21.9,0,0.0,87.4,0,0.054,102.0,0,1.715,0,1.624,0,65.25,0,18.71,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:15:00,2025-06-28,2025-06-28 01:15:00,21.9,0,0.0,87.8,0,0.137,102.0,0,1.767,0,1.69,0,57.31,0,16.85,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:16:00,2025-06-28,2025-06-28 01:16:00,21.9,0,0.0,88.1,0,0.127,102.0,0,1.4,0,1.322,0,59.08,0,19.16,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:17:00,2025-06-28,2025-06-28 01:17:00,21.9,0,0.0,88.2,0,0.299,102.0,0,1.608,0,1.481,0,40.41,0,22.8,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:18:00,2025-06-28,2025-06-28 01:18:00,21.9,0,0.0,87.9,0,0.085,102.1,0,0.928,0,0.76,0,90.2,0,34.53,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:19:00,2025-06-28,2025-06-28 01:19:00,21.9,0,0.0,87.8,0,0.114,102.1,0,0.818,0,0.406,0,39.48,0,57.51,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:20:00,2025-06-28,2025-06-28 01:20:00,21.9,0,0.0,87.8,0,0.151,102.1,0,1.31,0,0.808,0,57.5,0,50.13,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:21:00,2025-06-28,2025-06-28 01:21:00,21.9,0,0.0,87.7,0,0.097,102.1,0,1.125,0,1.052,0,58.19,0,20.69,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:22:00,2025-06-28,2025-06-28 01:22:00,21.9,0,0.0,88.0,0,0.056,102.1,0,0.87,0,0.786,0,57.89,0,25.15,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:23:00,2025-06-28,2025-06-28 01:23:00,21.9,0,0.0,88.3,0,0.087,102.0,0,1.63,0,1.386,0,53.95,0,31.31,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:24:00,2025-06-28,2025-06-28 01:24:00,21.95,0,0.05,88.4,0,0.065,102.1,0,1.593,0,1.358,0,38.29,0,31.16,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:25:00,2025-06-28,2025-06-28 01:25:00,22.0,0,0.018,88.3,0,0.11,102.1,0,1.968,0,1.84,0,60.2,0,20.65,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:26:00,2025-06-28,2025-06-28 01:26:00,22.0,0,0.0,88.2,0,0.081,102.1,0,1.24,0,1.023,0,57.52,0,33.91,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:27:00,2025-06-28,2025-06-28 01:27:00,21.97,0,0.047,87.8,0,0.231,102.1,0,2.175,0,1.991,0,71.88,0,23.58,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:28:00,2025-06-28,2025-06-28 01:28:00,21.9,0,0.0,87.3,0,0.166,102.1,0,2.67,0,2.558,0,40.4,0,16.6,0.0,0,82.3,0,13.3,0,22.39,0,38.838,-76.37,3.0
2025-06-28 01:29:00,2025-06-28,2025-06-28 01:29:00,21.89,0,0.022,87.6,0,0.085,102.1,0,1.977,0,1.906,0,53.83,0,15.34,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:30:00,2025-06-28,2025-06-28 01:30:00,21.82,0,0.039,87.6,0,0.063,102.1,0,2.208,0,2.17,0,53.23,0,10.74,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:31:00,2025-06-28,2025-06-28 01:31:00,21.8,0,0.018,87.7,0,0.074,102.1,0,2.877,0,2.831,0,43.85,0,10.18,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:32:00,2025-06-28,2025-06-28 01:32:00,21.8,0,0.0,87.3,0,0.185,102.1,0,3.755,0,3.718,0,51.89,0,8.09,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:33:00,2025-06-28,2025-06-28 01:33:00,21.8,0,0.0,87.3,0,0.291,102.1,0,3.622,0,3.595,0,47.52,0,6.908,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:34:00,2025-06-28,2025-06-28 01:34:00,21.8,0,0.0,88.3,0,0.061,102.1,0,1.868,0,1.785,0,68.08,0,17.08,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:35:00,2025-06-28,2025-06-28 01:35:00,21.82,0,0.037,88.3,0,0.048,102.1,0,0.588,0,0.299,0,58.7,0,56.81,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:36:00,2025-06-28,2025-06-28 01:36:00,21.9,0,0.0,88.5,0,0.075,102.1,0,1.305,0,1.191,0,53.33,0,23.99,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:37:00,2025-06-28,2025-06-28 01:37:00,21.9,0,0.0,88.3,0,0.123,102.1,0,1.337,0,1.146,0,64.25,0,30.57,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:38:00,2025-06-28,2025-06-28 01:38:00,21.9,0,0.0,88.2,0,0.108,102.1,0,1.87,0,1.8,0,88.6,0,15.7,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:39:00,2025-06-28,2025-06-28 01:39:00,21.9,0,0.0,87.8,0,0.094,102.1,0,1.27,0,1.09,0,81.7,0,30.48,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:40:00,2025-06-28,2025-06-28 01:40:00,21.9,0,0.0,88.0,0,0.091,102.1,0,1.065,0,0.932,0,74.17,0,28.68,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:41:00,2025-06-28,2025-06-28 01:41:00,21.9,0,0.0,88.5,0,0.113,102.1,0,2.335,0,2.282,0,43.24,0,12.17,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:42:00,2025-06-28,2025-06-28 01:42:00,21.9,0,0.018,88.6,0,0.128,102.1,0,1.718,0,1.663,0,91.0,0,14.53,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:43:00,2025-06-28,2025-06-28 01:43:00,21.99,0,0.028,88.3,0,0.25,102.1,0,3.408,0,3.29,0,53.61,0,15.11,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:44:00,2025-06-28,2025-06-28 01:44:00,21.92,0,0.036,88.0,0,0.112,102.1,0,2.805,0,2.768,0,43.97,0,9.25,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:45:00,2025-06-28,2025-06-28 01:45:00,21.9,0,0.0,88.2,0,0.136,102.1,0,2.937,0,2.888,0,49.24,0,10.42,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:46:00,2025-06-28,2025-06-28 01:46:00,21.9,0,0.0,88.1,0,0.079,102.1,0,3.727,0,3.713,0,43.89,0,4.873,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:47:00,2025-06-28,2025-06-28 01:47:00,21.9,0,0.0,88.3,0,0.112,102.1,0,2.852,0,2.826,0,44.15,0,7.751,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:48:00,2025-06-28,2025-06-28 01:48:00,21.86,0,0.048,88.2,0,0.076,102.1,0,1.727,0,1.563,0,87.5,0,24.93,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 01:49:00,2025-06-28,2025-06-28 01:49:00,21.8,0,0.0,88.0,0,0.059,102.1,0,2.58,0,2.466,0,40.35,0,17.02,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:50:00,2025-06-28,2025-06-28 01:50:00,21.8,0,0.0,88.1,0,0.106,102.1,0,2.288,0,2.205,0,48.77,0,15.42,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 01:51:00,2025-06-28,2025-06-28 01:51:00,21.8,0,0.0,88.3,0,0.049,102.1,0,1.317,0,1.123,0,53.29,0,31.07,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:52:00,2025-06-28,2025-06-28 01:52:00,21.8,0,0.0,88.2,0,0.097,102.1,0,1.905,0,1.796,0,67.99,0,19.4,0.0,0,82.3,0,13.3,0,22.45,0,38.838,-76.37,3.0
2025-06-28 01:53:00,2025-06-28,2025-06-28 01:53:00,21.8,0,0.0,88.4,0,0.058,102.1,0,0.462,0,0.26,0,26.8,0,53.51,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:54:00,2025-06-28,2025-06-28 01:54:00,21.8,0,0.0,88.2,0,0.08,102.1,0,1.138,0,1.014,0,52.95,0,26.79,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:55:00,2025-06-28,2025-06-28 01:55:00,21.77,0,0.047,88.0,0,0.076,102.1,0,1.625,0,1.459,0,79.71,0,25.88,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:56:00,2025-06-28,2025-06-28 01:56:00,21.7,0,0.0,88.1,0,0.047,102.1,0,2.777,0,2.6,0,42.34,0,20.44,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
2025-06-28 01:57:00,2025-06-28,2025-06-28 01:57:00,21.7,0,0.0,88.2,0,0.112,102.1,0,1.405,0,1.389,0,59.01,0,8.6,0.0,0,82.3,0,13.3,0,22.42,0,38.838,-76.37,3.0
